cell_id,lat,lon,horizon_hours,forecast_aqi,severity,priority_band,dominant_source,confidence,priority_score,recommended_action,evidence
512,28.553846,77.292308,48,124.4,Moderate,MEDIUM,Construction/Dust,0.659,51.513333333333335,Dust suppression,"AQI=124.4, source=Construction/Dust (38.0%), confidence=66%"
355,28.502564,77.338462,24,99.3,Low,MEDIUM,Traffic/Roads,0.671,51.510000000000005,Deploy traffic police,"AQI=99.3, source=Traffic/Roads (57.7%), confidence=67%"
60,28.412821,77.107692,72,139.6,Moderate,MEDIUM,Construction/Dust,0.438,51.50666666666666,Dust suppression,"AQI=139.6, source=Construction/Dust (47.4%), confidence=44%"
523,28.566667,76.846154,72,101.9,Moderate,MEDIUM,Traffic/Roads,0.511,51.50333333333333,Deploy traffic police,"AQI=101.9, source=Traffic/Roads (71.5%), confidence=51%"
1597,28.9,77.369231,24,69.1,Low,MEDIUM,Traffic/Roads,0.499,51.49666666666667,Deploy traffic police,"AQI=69.1, source=Traffic/Roads (100.0%), confidence=50%"
1488,28.874359,76.923077,48,87.8,Low,MEDIUM,Traffic/Roads,0.616,51.49333333333333,Deploy traffic police,"AQI=87.8, source=Traffic/Roads (72.7%), confidence=62%"
873,28.669231,77.307692,24,81.4,Low,MEDIUM,Traffic/Roads,0.768,51.48666666666667,Deploy traffic police,"AQI=81.4, source=Traffic/Roads (62.8%), confidence=77%"
180,28.451282,77.107692,48,85.2,Low,MEDIUM,Construction/Dust,0.782,51.480000000000004,Dust suppression,"AQI=85.2, source=Construction/Dust (58.2%), confidence=78%"
293,28.489744,77.0,48,108.0,Moderate,MEDIUM,Traffic/Roads,0.602,51.480000000000004,Deploy traffic police,"AQI=108.0, source=Traffic/Roads (57.2%), confidence=60%"
1596,28.9,77.353846,24,69.1,Low,MEDIUM,Traffic/Roads,0.498,51.47666666666667,Deploy traffic police,"AQI=69.1, source=Traffic/Roads (100.0%), confidence=50%"
1337,28.823077,77.061538,72,130.4,Moderate,MEDIUM,Traffic/Roads,0.479,51.47333333333333,Deploy traffic police,"AQI=130.4, source=Traffic/Roads (50.8%), confidence=48%"
1297,28.810256,77.061538,24,122.6,Moderate,MEDIUM,Traffic/Roads,0.516,51.47333333333333,Deploy traffic police,"AQI=122.6, source=Traffic/Roads (53.6%), confidence=52%"
721,28.630769,76.815385,72,58.6,Low,MEDIUM,Traffic/Roads,0.597,51.46666666666666,Deploy traffic police,"AQI=58.6, source=Traffic/Roads (98.8%), confidence=60%"
1053,28.733333,77.0,48,124.2,Moderate,MEDIUM,Traffic/Roads,0.477,51.440000000000005,Deploy traffic police,"AQI=124.2, source=Traffic/Roads (56.0%), confidence=48%"
1599,28.9,77.4,48,66.0,Low,MEDIUM,Traffic/Roads,0.522,51.44,Deploy traffic police,"AQI=66.0, source=Traffic/Roads (100.0%), confidence=52%"
1595,28.9,77.338462,48,66.0,Low,MEDIUM,Traffic/Roads,0.542,51.44,Deploy traffic police,"AQI=66.0, source=Traffic/Roads (98.0%), confidence=54%"
1559,28.887179,77.4,24,69.1,Low,MEDIUM,Traffic/Roads,0.496,51.43666666666667,Deploy traffic police,"AQI=69.1, source=Traffic/Roads (100.0%), confidence=50%"
1363,28.835897,76.846154,48,105.8,Moderate,MEDIUM,Traffic/Roads,0.529,51.43333333333333,Deploy traffic police,"AQI=105.8, source=Traffic/Roads (66.1%), confidence=53%"
1319,28.810256,77.4,72,70.5,Low,MEDIUM,Traffic/Roads,0.559,51.43,Deploy traffic police,"AQI=70.5, source=Traffic/Roads (92.5%), confidence=56%"
611,28.592308,76.969231,24,130.5,Moderate,MEDIUM,Traffic/Roads,0.469,51.43,Deploy traffic police,"AQI=130.5, source=Traffic/Roads (51.5%), confidence=47%"
1359,28.823077,77.4,72,70.5,Low,MEDIUM,Traffic/Roads,0.528,51.43,Deploy traffic police,"AQI=70.5, source=Traffic/Roads (95.6%), confidence=53%"
